,time_stamp,fault,joint,pose,offset,time,time_label,drop_rate,mean,sd
217,1970-01-01 00:00:37.462,1,1,3,4,1,3,1,-4.170000076293945,1.149999976158142
218,1970-01-01 00:02:07.498,1,5,9,1,2,2,2,-1.7200000286102295,2.5799999237060547
219,1970-01-01 00:03:25.773,1,3,3,5,3,2,2,-4.570000171661377,3.3399999141693115
220,1970-01-01 00:04:53.434,1,5,5,1,1,3,3,3.2200000286102295,2.059999942779541
221,1970-01-01 00:06:15.936,1,8,2,1,2,2,1,-3.059999942779541,3.0399999618530273
222,1970-01-01 00:07:31.206,4,8,1,4,3,2,1,-4.079999923706055,2.119999885559082
223,1970-01-01 00:08:47.107,1,8,5,3,1,2,1,1.649999976158142,3.0299999713897705
224,1970-01-01 00:00:36.407,2,7,7,1,3,3,1,-2.009999990463257,3.2799999713897705
225,1970-01-01 00:02:11.539,4,2,5,4,1,2,1,-0.47999998927116394,1.0499999523162842
226,1970-01-01 00:03:21.943,1,7,1,4,2,2,2,-1.850000023841858,3.0
227,1970-01-01 00:04:47.939,2,3,7,1,2,3,3,-3.4600000381469727,2.2200000286102295
228,1970-01-01 00:06:06.270,3,7,3,2,2,3,3,4.789999961853027,3.630000114440918
229,1970-01-01 00:07:20.974,2,5,2,3,3,2,1,3.25,1.9199999570846558
230,1970-01-01 00:08:34.673,2,0,5,2,3,3,1,-1.600000023841858,1.559999942779541
231,1970-01-01 00:00:36.667,3,6,2,3,2,2,2,4.599999904632568,1.7599999904632568
232,1970-01-01 00:02:08.504,1,8,1,5,3,3,1,4.070000171661377,2.640000104904175
233,1970-01-01 00:03:27.836,2,7,8,4,3,3,2,-3.1600000858306885,2.2100000381469727
234,1970-01-01 00:04:53.504,1,8,6,5,2,3,2,-0.9700000286102295,1.090000033378601
235,1970-01-01 00:06:13.704,4,5,9,3,3,2,3,0.33000001311302185,4.5
236,1970-01-01 00:07:21.580,3,3,1,1,1,2,2,0.25999999046325684,3.440000057220459
237,1970-01-01 00:08:33.506,2,6,2,1,2,2,1,-1.159999966621399,4.610000133514404
238,1970-01-01 00:00:34.824,2,5,4,2,1,3,2,2.9000000953674316,2.6600000858306885
239,1970-01-01 00:02:10.874,4,0,3,4,2,2,1,4.639999866485596,4.829999923706055
240,1970-01-01 00:03:21.804,1,4,6,4,3,3,2,1.5199999809265137,4.440000057220459
