time,.data
1970/01/01/01:00:38.234000,False
1970/01/01/01:00:38.267000,False
1970/01/01/01:00:38.300000,False
1970/01/01/01:00:38.334000,False
1970/01/01/01:00:38.367000,False
1970/01/01/01:00:38.400000,False
1970/01/01/01:00:38.434000,False
1970/01/01/01:00:38.467000,False
1970/01/01/01:00:38.500000,False
1970/01/01/01:00:38.534000,False
1970/01/01/01:00:38.567000,False
1970/01/01/01:00:38.601000,False
1970/01/01/01:00:38.634000,False
1970/01/01/01:00:38.667000,False
1970/01/01/01:00:38.700000,False
1970/01/01/01:00:38.734000,False
1970/01/01/01:00:38.767000,False
1970/01/01/01:00:38.800000,False
1970/01/01/01:00:38.834000,False
1970/01/01/01:00:38.867000,False
1970/01/01/01:00:38.900000,False
1970/01/01/01:00:38.934000,False
1970/01/01/01:00:38.967000,False
1970/01/01/01:00:39.000000,False
1970/01/01/01:00:39.034000,False
1970/01/01/01:00:39.067000,False
1970/01/01/01:00:39.100000,False
1970/01/01/01:00:39.134000,False
1970/01/01/01:00:39.167000,False
1970/01/01/01:00:39.200000,False
1970/01/01/01:00:39.234000,False
1970/01/01/01:00:39.267000,False
1970/01/01/01:00:39.300000,False
1970/01/01/01:00:39.334000,False
1970/01/01/01:00:39.367000,False
1970/01/01/01:00:39.400000,False
1970/01/01/01:00:39.434000,False
1970/01/01/01:00:39.467000,False
1970/01/01/01:00:39.500000,False
1970/01/01/01:00:39.534000,False
1970/01/01/01:00:39.567000,False
1970/01/01/01:00:39.600000,False
1970/01/01/01:00:39.634000,False
1970/01/01/01:00:39.667000,False
1970/01/01/01:00:39.700000,False
1970/01/01/01:00:39.734000,False
1970/01/01/01:00:39.767000,False
1970/01/01/01:00:39.800000,False
1970/01/01/01:00:39.834000,False
1970/01/01/01:00:39.867000,False
1970/01/01/01:00:39.900000,False
1970/01/01/01:00:39.934000,False
1970/01/01/01:00:39.967000,False
1970/01/01/01:00:40.000000,False
1970/01/01/01:00:40.034000,False
1970/01/01/01:00:40.067000,False
1970/01/01/01:00:40.100000,False
1970/01/01/01:00:40.134000,False
1970/01/01/01:00:40.167000,False
1970/01/01/01:00:40.200000,False
1970/01/01/01:00:40.234000,False
1970/01/01/01:00:40.267000,False
1970/01/01/01:00:40.300000,False
1970/01/01/01:00:40.334000,False
1970/01/01/01:00:40.367000,False
1970/01/01/01:00:40.400000,False
1970/01/01/01:00:40.434000,False
1970/01/01/01:00:40.467000,False
1970/01/01/01:00:40.500000,False
1970/01/01/01:00:40.534000,False
1970/01/01/01:00:40.567000,False
1970/01/01/01:00:40.600000,False
1970/01/01/01:00:40.634000,False
1970/01/01/01:00:40.667000,False
1970/01/01/01:00:40.701000,False
1970/01/01/01:00:40.735000,False
1970/01/01/01:00:40.767000,False
1970/01/01/01:00:40.800000,False
1970/01/01/01:00:40.834000,False
1970/01/01/01:00:40.868000,False
1970/01/01/01:00:40.900000,False
1970/01/01/01:00:40.934000,False
1970/01/01/01:00:40.967000,False
1970/01/01/01:00:41.000000,False
1970/01/01/01:00:41.034000,False
1970/01/01/01:00:41.067000,False
1970/01/01/01:00:41.100000,False
1970/01/01/01:00:41.135000,False
1970/01/01/01:00:41.167000,False
1970/01/01/01:00:41.200000,False
1970/01/01/01:00:41.234000,False
1970/01/01/01:00:41.267000,False
1970/01/01/01:00:41.300000,False
1970/01/01/01:00:41.334000,False
1970/01/01/01:00:41.368000,False
1970/01/01/01:00:41.400000,False
1970/01/01/01:00:41.435000,False
1970/01/01/01:00:41.467000,False
1970/01/01/01:00:41.500000,False
1970/01/01/01:00:41.534000,False
1970/01/01/01:00:41.567000,False
1970/01/01/01:00:41.600000,False
1970/01/01/01:00:41.635000,False
1970/01/01/01:00:41.667000,False
1970/01/01/01:00:41.701000,False
1970/01/01/01:00:41.734000,False
1970/01/01/01:00:41.767000,False
1970/01/01/01:00:41.800000,False
1970/01/01/01:00:41.834000,False
1970/01/01/01:00:41.867000,False
1970/01/01/01:00:41.900000,False
1970/01/01/01:00:41.934000,False
1970/01/01/01:00:41.967000,False
1970/01/01/01:00:42.000000,False
1970/01/01/01:00:42.034000,False
1970/01/01/01:00:42.067000,False
1970/01/01/01:00:42.100000,False
1970/01/01/01:00:42.134000,False
1970/01/01/01:00:42.167000,False
1970/01/01/01:00:42.200000,False
1970/01/01/01:00:42.234000,False
1970/01/01/01:00:42.267000,False
1970/01/01/01:00:42.300000,False
1970/01/01/01:00:42.334000,False
1970/01/01/01:00:42.367000,False
1970/01/01/01:00:42.400000,False
1970/01/01/01:00:42.434000,False
1970/01/01/01:00:42.467000,False
1970/01/01/01:00:42.501000,False
1970/01/01/01:00:42.534000,False
1970/01/01/01:00:42.567000,False
1970/01/01/01:00:42.600000,False
1970/01/01/01:00:42.634000,False
1970/01/01/01:00:42.667000,False
1970/01/01/01:00:42.700000,False
1970/01/01/01:00:42.734000,False
1970/01/01/01:00:42.767000,False
1970/01/01/01:00:42.800000,False
1970/01/01/01:00:42.834000,False
1970/01/01/01:00:42.867000,False
1970/01/01/01:00:42.900000,False
